,Time,seconds,day,year,month
107,2022-03-21 16:16:00,216.933,80,2022,3
108,2022-03-21 16:21:00,299.746,80,2022,3
109,2022-03-21 16:21:00,6.867,80,2022,3
110,2022-03-21 16:25:00,222.036,80,2022,3
111,2022-03-21 16:28:00,208.124,80,2022,3
112,2022-03-21 16:30:00,104.999,80,2022,3
113,2022-03-21 16:34:00,208.658,80,2022,3
114,2022-03-21 16:35:00,101.275,80,2022,3
116,2022-03-21 16:40:00,248.133,80,2022,3
115,2022-03-21 16:40:00,6.547,80,2022,3
117,2022-03-21 16:44:00,283.733,80,2022,3
118,2022-03-21 16:48:00,234.973,80,2022,3
119,2022-03-21 16:51:00,180.48,80,2022,3
120,2022-03-21 16:54:00,168.441,80,2022,3
121,2022-03-21 16:58:00,240.213,80,2022,3
122,2022-03-21 17:02:00,219.583,80,2022,3
124,2022-03-21 17:06:00,200.149,80,2022,3
125,2022-03-21 17:06:00,8.005,80,2022,3
123,2022-03-21 17:06:00,2.143,80,2022,3
126,2022-03-21 17:10:00,208.124,80,2022,3
127,2022-03-21 17:14:00,240.213,80,2022,3
128,2022-03-21 17:17:00,219.583,80,2022,3
129,2022-03-21 17:21:00,241.202,80,2022,3
130,2022-03-21 17:24:00,183.326,80,2022,3
133,2022-03-21 17:28:00,227.512,80,2022,3
131,2022-03-21 17:28:00,2.307,80,2022,3
132,2022-03-21 17:28:00,1.293,80,2022,3
134,2022-03-21 17:29:00,60.073,80,2022,3
135,2022-03-21 17:34:00,279.013,80,2022,3
136,2022-03-21 17:38:00,248.709,80,2022,3
137,2022-03-21 17:38:00,2.442,80,2022,3
138,2022-03-21 17:39:00,37.691,80,2022,3
139,2022-03-21 17:42:00,187.982,80,2022,3
140,2022-03-21 17:44:00,147.2,80,2022,3
141,2022-03-21 17:51:00,394.522,80,2022,3
142,2022-03-21 17:54:00,186.076,80,2022,3
143,2022-03-21 17:57:00,193.616,80,2022,3
144,2022-03-21 17:59:00,81.813,80,2022,3
145,2022-03-21 18:05:00,353.571,80,2022,3
146,2022-03-21 18:07:00,128.01,80,2022,3
147,2022-03-21 18:10:00,201.972,80,2022,3
148,2022-03-21 18:13:00,154.553,80,2022,3
149,2022-03-21 18:16:00,206.834,80,2022,3
150,2022-03-21 18:21:00,204.925,80,2022,3
151,2022-03-21 18:24:00,122.611,80,2022,3
152,2022-03-21 18:27:00,210.013,80,2022,3
153,2022-03-21 18:30:00,177.986,80,2022,3
154,2022-03-21 18:34:00,238.918,80,2022,3
155,2022-03-21 18:38:00,231.893,80,2022,3
156,2022-03-21 18:42:00,225.998,80,2022,3
157,2022-03-21 18:42:00,1.693,80,2022,3
158,2022-03-21 18:42:00,3.052,80,2022,3
159,2022-03-21 18:46:00,228.453,80,2022,3
160,2022-03-21 18:49:00,202.546,80,2022,3
161,2022-03-21 18:53:00,3.115,80,2022,3
162,2022-03-21 18:53:00,11.398,80,2022,3
163,2022-03-21 18:53:00,241.546,80,2022,3
168,2022-03-21 18:57:00,231.893,80,2022,3
167,2022-03-21 18:57:00,4.201,80,2022,3
164,2022-03-21 18:57:00,1.46,80,2022,3
165,2022-03-21 18:57:00,2.515,80,2022,3
166,2022-03-21 18:57:00,9.158,80,2022,3
169,2022-03-21 18:58:00,2.659,80,2022,3
170,2022-03-21 18:58:00,1.162,80,2022,3
171,2022-03-21 18:58:00,0.023,80,2022,3
172,2022-03-21 19:01:00,196.077,80,2022,3
176,2022-03-21 19:02:00,58.255,80,2022,3
175,2022-03-21 19:02:00,1.288,80,2022,3
173,2022-03-21 19:02:00,1.12,80,2022,3
174,2022-03-21 19:02:00,0.023,80,2022,3
177,2022-03-21 19:04:00,123.986,80,2022,3
178,2022-03-21 19:08:00,246.973,80,2022,3
179,2022-03-21 19:11:00,177.986,80,2022,3
180,2022-03-21 19:14:00,160.097,80,2022,3
181,2022-03-21 19:24:00,0.829,80,2022,3
182,2022-03-21 22:09:00,1.123,80,2022,3
183,2022-03-21 22:09:00,210.42,80,2022,3
184,2022-03-21 22:13:00,235.106,80,2022,3
185,2022-03-21 22:19:00,394.522,80,2022,3
186,2022-03-21 22:22:00,186.076,80,2022,3
187,2022-03-21 22:26:00,204.507,80,2022,3
188,2022-03-21 22:29:00,187.982,80,2022,3
189,2022-03-21 22:32:00,1.296,80,2022,3
190,2022-03-21 22:32:00,188.452,80,2022,3
191,2022-03-21 22:36:00,236.218,80,2022,3
192,2022-03-21 22:39:00,193.616,80,2022,3
193,2022-03-21 22:42:00,148.86,80,2022,3
194,2022-03-21 22:44:00,131.2,80,2022,3
195,2022-03-21 22:47:00,192.047,80,2022,3
196,2022-03-21 22:50:00,189.141,80,2022,3
197,2022-03-21 22:54:00,228.649,80,2022,3
198,2022-03-21 22:57:00,138.461,80,2022,3
199,2022-03-21 23:00:00,187.685,80,2022,3
200,2022-03-21 23:03:00,182.265,80,2022,3
201,2022-03-21 23:09:00,353.571,80,2022,3
202,2022-03-21 23:11:00,145.617,80,2022,3
203,2022-03-21 23:14:00,192.992,80,2022,3
204,2022-03-21 23:17:00,154.056,80,2022,3
205,2022-03-21 23:19:00,154.553,80,2022,3
206,2022-03-21 23:24:00,270.373,80,2022,3
207,2022-03-21 23:27:00,168.238,80,2022,3
208,2022-03-21 23:29:00,154.037,80,2022,3
209,2022-03-21 23:30:00,8.059,80,2022,3
210,2022-03-21 23:31:00,113.684,80,2022,3
211,2022-03-21 23:34:00,147.2,80,2022,3
212,2022-03-21 23:38:00,229.982,80,2022,3
213,2022-03-21 23:41:00,197.963,80,2022,3
214,2022-03-21 23:45:00,206.834,80,2022,3
215,2022-03-21 23:47:00,133.0,80,2022,3
216,2022-03-21 23:50:00,128.01,80,2022,3
217,2022-03-21 23:55:00,235.106,80,2022,3
218,2022-03-22 00:10:00,284.371,81,2022,3
219,2022-03-22 00:11:00,67.479,81,2022,3
220,2022-03-22 00:15:00,191.947,81,2022,3
221,2022-03-22 00:21:00,395.396,81,2022,3
222,2022-03-22 00:27:00,341.049,81,2022,3
223,2022-03-22 00:31:00,238.376,81,2022,3
224,2022-03-22 00:36:00,292.415,81,2022,3
225,2022-03-22 00:37:00,85.82,81,2022,3
226,2022-03-22 00:52:00,290.388,81,2022,3
227,2022-03-22 01:40:00,4.836,81,2022,3
228,2022-03-22 01:45:00,291.688,81,2022,3
229,2022-03-22 01:49:00,248.635,81,2022,3
230,2022-03-22 01:52:00,206.708,81,2022,3
231,2022-03-22 01:55:00,130.776,81,2022,3
232,2022-03-22 01:56:00,93.695,81,2022,3
233,2022-03-22 02:00:00,201.914,81,2022,3
234,2022-03-22 02:01:00,0.023,81,2022,3
235,2022-03-22 02:01:00,17.441,81,2022,3
236,2022-03-22 02:01:00,1.317,81,2022,3
237,2022-03-22 02:01:00,79.948,81,2022,3
238,2022-03-22 02:01:00,2.144,81,2022,3
239,2022-03-22 02:04:00,177.986,81,2022,3
240,2022-03-22 02:08:00,210.013,81,2022,3
241,2022-03-22 02:10:00,160.097,81,2022,3
242,2022-03-22 02:14:00,185.48,81,2022,3
243,2022-03-22 02:16:00,123.986,81,2022,3
244,2022-03-22 02:19:00,228.453,81,2022,3
245,2022-03-22 02:23:00,196.077,81,2022,3
246,2022-03-22 02:30:00,231.893,81,2022,3
247,2022-03-22 02:34:00,14.783,81,2022,3
248,2022-03-22 02:34:00,202.546,81,2022,3
249,2022-03-22 02:37:00,163.133,81,2022,3
250,2022-03-22 02:41:00,221.543,81,2022,3
252,2022-03-22 02:45:00,200.185,81,2022,3
251,2022-03-22 02:45:00,53.447,81,2022,3
261,2022-03-22 02:46:00,1.554,81,2022,3
259,2022-03-22 02:46:00,1.799,81,2022,3
258,2022-03-22 02:46:00,1.705,81,2022,3
257,2022-03-22 02:46:00,3.47,81,2022,3
260,2022-03-22 02:46:00,1.913,81,2022,3
255,2022-03-22 02:46:00,4.639,81,2022,3
254,2022-03-22 02:46:00,38.873,81,2022,3
253,2022-03-22 02:46:00,1.457,81,2022,3
256,2022-03-22 02:46:00,1.599,81,2022,3
262,2022-03-22 02:50:00,177.986,81,2022,3
263,2022-03-22 02:51:00,22.162,81,2022,3
264,2022-03-22 02:51:00,9.697,81,2022,3
265,2022-03-22 02:51:00,1.578,81,2022,3
266,2022-03-22 02:53:00,123.986,81,2022,3
267,2022-03-22 02:57:00,228.453,81,2022,3
268,2022-03-22 03:08:00,58.165,81,2022,3
269,2022-03-22 03:21:00,53.8,81,2022,3
270,2022-03-22 03:27:00,8.512,81,2022,3
273,2022-03-22 03:28:00,1.414,81,2022,3
271,2022-03-22 03:28:00,12.804,81,2022,3
272,2022-03-22 03:28:00,29.934,81,2022,3
274,2022-03-22 03:31:00,147.181,81,2022,3
275,2022-03-22 03:34:00,208.658,81,2022,3
276,2022-03-22 03:37:00,203.2,81,2022,3
277,2022-03-22 03:40:00,134.659,81,2022,3
278,2022-03-22 03:45:00,231.893,81,2022,3
279,2022-03-22 03:55:00,36.894,81,2022,3
280,2022-03-22 07:05:00,259.375,81,2022,3
281,2022-03-22 07:10:00,289.792,81,2022,3
282,2022-03-22 07:12:00,85.82,81,2022,3
283,2022-03-22 07:16:00,256.299,81,2022,3
284,2022-03-22 07:21:00,275.546,81,2022,3
285,2022-03-22 07:25:00,291.688,81,2022,3
286,2022-03-22 07:30:00,292.415,81,2022,3
287,2022-03-22 07:34:00,238.376,81,2022,3
288,2022-03-22 07:41:00,395.396,81,2022,3
289,2022-03-22 07:47:00,341.049,81,2022,3
290,2022-03-22 07:52:00,311.025,81,2022,3
291,2022-03-22 07:56:00,247.463,81,2022,3
292,2022-03-22 08:01:00,294.017,81,2022,3
293,2022-03-22 08:05:00,248.635,81,2022,3
294,2022-03-22 08:09:00,259.375,81,2022,3
295,2022-03-22 08:14:00,289.792,81,2022,3
296,2022-03-22 08:16:00,85.82,81,2022,3
